STATE,NAME,POPESTIMATE2011,POPESTIMATE2013,POPESTIMATE2015,POPESTIMATE2017,POPESTIMATE2019
1,Alabama,4799069,4830081,4852347,4874486,4903185
2,Alaska,722128,737068,737498,739700,731545
4,Arizona,,6632764,6829676,7044008,7278717
5,Arkansas,2940667,2959400,2978048,3001345,3017804
6,California,37638369,38260787,38918045,39358497,39512223
8,Colorado,5121108,5269035,5450623,5611885,5758736
9,Connecticut,3588283,3594841,3587122,3573297,3565287
10,Delaware,907381,923576,941252,956823,973764
11,District of Columbia,619800,650581,675400,694906,705749
12,Florida,19053237,19545621,20209042,20963613,21477737
13,Georgia,9802431,9972479,10178447,10410330,10617423
15,Hawaii,1379329,1408243,1422052,1424393,1415872
16,Idaho,1583910,1611206,,1717715,1787065
17,Illinois,12867454,12895129,12858913,12778828,12671821
18,Indiana,6516528,6568713,6608422,6658078,6732219
19,Iowa,3066336,3092997,3120960,3141550,3155070
20,Kansas,2869225,2893212,2909011,2908718,2913314
21,Kentucky,4369821,4404659,4425976,4452268,4467673
22,Louisiana,4575625,4624527,4664628,4670560,4648794
23,Maine,1328284,1328009,1328262,1334612,1344212
24,Maryland,5839419,5923188,5985562,6023868,6045680
25,Massachusetts,6613583,6713315,6794228,6859789,6892503
26,Michigan,9882412,9913065,9931715,9973114,9986857
27,Minnesota,5346143,5413479,5482032,5566230,5639632
28,Mississippi,2978731,2988711,2988471,2988510,2976149
29,Missouri,6010275,6040715,6071732,6106670,6137428
30,Montana,997316,1013569,1030475,,1068778
31,Nebraska,1840672,1865279,1891277,1915947,1934408
32,Nevada,2712730,2775970,2866939,2969905,3080156
33,New Hampshire,1320202,1326622,1336350,1348787,1359711
34,New Jersey,8828117,8856972,8867949,8885525,8882190
35,New Mexico,2080450,2092273,2089291,2091784,2096829
36,New York,19499241,19624447,19654666,19589572,19453561
37,North Carolina,9657592,9843336,10031646,10268233,10488084
38,North Dakota,685225,722036,754066,754942,762062
39,Ohio,11544663,,11617527,11659650,11689100
40,Oklahoma,3788379,3853214,3909500,3931316,3956971
41,Oregon,3872036,3922468,4015792,4143625,4217737
42,Pennsylvania,12745815,12776309,12784826,12787641,12801989
44,Rhode Island,1053649,1055081,1056065,1055673,1059361
45,South Carolina,4671994,4764080,4891938,5021268,5148714
46,South Dakota,823579,842316,853988,872868,884659
47,Tennessee,6399291,6494340,6591170,6708799,6829174
48,Texas,25645629,26480266,27470056,28295273,28995881
49,Utah,2814384,2897640,2981835,3101042,3205958
50,Vermont,627049,626210,625216,624344,623989
51,Virginia,8101155,8252427,8361808,8463587,8535519
53,Washington,6826627,6963985,7163657,7423362,7614893
54,West Virginia,1856301,1853914,1842050,1817004,1792147
55,Wisconsin,5705288,5736754,5760940,5790186,
56,Wyoming,567299,582122,585613,578931,578759
72,Puerto Rico,3678732,3593077,3473232,3325286,3193694
