"","cont1","cont2","cont3","bool1","bool2","cont4","bool3","cont5","cont6","approval","credit.score","ages"
"1",30.83,0,1.25,"t","t",1,"f",202,0,"+",664.6,42
"2",58.67,4.46,3.04,"t","t",6,"f",43,560,"+",693.88,54
"3",24.5,0.5,1.5,"t","f",0,"f",280,824,"+",621.82,29
"4",27.83,1.54,3.75,"t","t",5,"t",100,3,"+",653.97,58
"5",20.17,5.625,1.71,"t","f",0,"f",120,0,"+",670.26,65
"6",32.08,4,2.5,"t","f",0,"t",360,0,"+",672.16,61
"7",33.17,1.04,6.5,"t","f",0,"t",164,31285,"+",693.53,50
"8",22.92,11.585,0.04,"t","f",0,"f",80,1349,"+",697.57,41
"9",54.42,0.5,3.96,"t","f",0,"f",180,314,"+",704.22,30
"10",42.5,4.915,3.165,"t","f",0,"t",52,1442,"+",722.97,35
"11",22.08,0.83,2.165,"f","f",0,"t",128,0,"+",677.64,57
"12",29.92,1.835,4.335,"t","f",0,"f",260,200,"+",675.62,58
"13",38.25,6,1,"t","f",0,"t",0,0,"+",657.88,60
"14",48.08,6.04,0.04,"f","f",0,"f",0,2690,"+",717,43
"15",45.83,10.5,5,"t","t",7,"t",0,0,"+",741.7,62
"16",36.67,4.415,0.25,"t","t",10,"t",320,0,"+",600.64,53
"17",28.25,0.875,0.96,"t","t",3,"t",396,0,"+",712.13,40
"18",23.25,5.875,3.17,"t","t",10,"f",120,245,"+",682.23,48
"19",21.83,0.25,0.665,"t","f",0,"t",0,0,"+",652.96,65
"20",19.17,8.585,0.75,"t","t",7,"f",96,0,"+",733.69,54
"21",25,11.25,2.5,"t","t",17,"f",200,1208,"+",664.53,38
"22",23.25,1,0.835,"t","f",0,"f",300,0,"+",710.16,51
"23",47.75,8,7.875,"t","t",6,"t",0,1260,"+",695.52,56
"24",27.42,14.5,3.085,"t","t",1,"f",120,11,"+",662.91,48
"25",41.17,6.5,0.5,"t","t",3,"t",145,0,"+",736.13,52
"26",15.83,0.585,1.5,"t","t",2,"f",100,0,"+",590.82,46
"27",47,13,5.165,"t","t",9,"t",0,0,"+",677.87,51
"28",56.58,18.5,15,"t","t",17,"t",0,0,"+",623.93,41
"29",57.42,8.5,7,"t","t",3,"f",0,0,"+",675.94,64
"30",42.08,1.04,5,"t","t",6,"t",500,10000,"+",787.31,46
"31",29.25,14.79,5.04,"t","t",5,"t",168,0,"+",705.56,56
"32",42,9.79,7.96,"t","t",8,"f",0,0,"+",771.17,70
"33",49.5,7.585,7.585,"t","t",15,"t",0,5000,"+",653.67,52
"34",36.75,5.125,5,"t","f",0,"t",0,4000,"+",663.27,54
"35",22.58,10.75,0.415,"t","t",5,"t",0,560,"+",753.83,35
"36",27.83,1.5,2,"t","t",11,"t",434,35,"+",664.91,53
"37",27.25,1.585,1.835,"t","t",12,"t",583,713,"+",680.7,30
"38",23,11.75,0.5,"t","t",2,"t",300,551,"+",730.97,39
"39",27.75,0.585,0.25,"t","t",2,"f",260,500,"+",660.98,67
"40",54.58,9.415,14.415,"t","t",11,"t",30,300,"+",653.45,46
